dataset,graph_id,method,changed,node_count,edge_count,edge_count_delta,edge_jaccard,node_type_change_rate,edge_type_change_rate,schema_valid,duplicate_edge_fraction,self_loop_fraction
TraceLog,31907,node_type_swap,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,31907,edge_type_swap,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,102999,edge_perturbation,1,354,401,0,0.7743362831858407,0.0,0.0,1,0.0,0.0
TraceLog,102999,edge_addition,1,354,401,52,0.8852097130242825,0.0,0.0,1,0.0,0.0
TraceLog,102999,node_type_swap,0,354,401,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,102999,edge_type_swap,0,354,401,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,23822,edge_perturbation,1,311,311,0,0.7720797720797721,0.0,0.0,1,0.0,0.0
TraceLog,23822,edge_addition,1,311,311,40,0.8911174785100286,0.0,0.0,1,0.005698005698005715,0.0
TraceLog,23822,node_type_swap,0,311,311,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,23822,edge_type_swap,0,311,311,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,20757,edge_perturbation,1,11,11,0,0.8333333333333334,0.0,0.0,1,0.0,0.0
TraceLog,20757,edge_addition,1,11,11,1,1.0,0.0,0.0,1,0.08333333333333337,0.0
TraceLog,20757,node_type_swap,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,20757,edge_type_swap,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,127968,edge_perturbation,1,26,28,0,0.8666666666666667,0.0,0.0,1,0.0,0.0
TraceLog,127968,edge_addition,1,26,28,4,0.9032258064516129,0.0,0.0,1,0.03125,0.0
TraceLog,127968,node_type_swap,0,26,28,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,127968,edge_type_swap,0,26,28,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,105421,edge_perturbation,1,18,19,0,0.8095238095238095,0.0,0.0,1,0.0,0.0
TraceLog,105421,edge_addition,1,18,19,2,0.9047619047619048,0.0,0.0,1,0.0,0.0
TraceLog,105421,node_type_swap,0,18,19,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,105421,edge_type_swap,0,18,19,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,39965,edge_perturbation,1,26,28,0,0.8666666666666667,0.0,0.0,1,0.0,0.0
TraceLog,39965,edge_addition,1,26,28,4,0.875,0.0,0.0,1,0.0,0.0
TraceLog,39965,node_type_swap,0,26,28,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,39965,edge_type_swap,0,26,28,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,7469,edge_perturbation,1,378,431,0,0.7736625514403292,0.0,0.0,1,0.0,0.0
TraceLog,7469,edge_addition,1,378,431,56,0.8850102669404517,0.0,0.0,1,0.0,0.0
TraceLog,7469,node_type_swap,0,378,431,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,7469,edge_type_swap,0,378,431,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,50719,edge_perturbation,1,48,52,0,0.7931034482758621,0.0,0.0,1,0.0,0.0
TraceLog,50719,edge_addition,1,48,52,7,0.8813559322033898,0.0,0.0,1,0.0,0.0
TraceLog,50719,node_type_swap,0,48,52,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,50719,edge_type_swap,0,48,52,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,40160,edge_perturbation,1,26,28,0,0.8064516129032258,0.0,0.0,1,0.0,0.0
TraceLog,40160,edge_addition,1,26,28,4,0.875,0.0,0.0,1,0.0,0.0
TraceLog,40160,node_type_swap,0,26,28,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,40160,edge_type_swap,0,26,28,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,29264,edge_perturbation,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,29264,edge_addition,1,11,11,1,0.9166666666666666,0.0,0.0,1,0.0,0.0
TraceLog,29264,node_type_swap,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,29264,edge_type_swap,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,3542,edge_perturbation,1,537,605,0,0.7715959004392386,0.0,0.0,1,0.0,0.0
TraceLog,3542,edge_addition,1,537,605,79,0.8845029239766082,0.0,0.0,1,0.0,0.0
TraceLog,3542,node_type_swap,0,537,605,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,3542,edge_type_swap,0,537,605,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,81206,edge_perturbation,1,378,431,0,0.78099173553719,0.0,0.0,1,0.0,0.0
TraceLog,81206,edge_addition,1,378,431,56,0.8850102669404517,0.0,0.0,1,0.0,0.0
TraceLog,81206,node_type_swap,0,378,431,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,81206,edge_type_swap,0,378,431,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,40062,edge_perturbation,1,26,28,0,0.75,0.0,0.0,1,0.0,0.0
TraceLog,40062,edge_addition,1,26,28,4,0.9032258064516129,0.0,0.0,1,0.03125,0.0
TraceLog,40062,node_type_swap,1,26,28,0,1.0,0.07692307978868484,0.0,1,0.0,0.0
TraceLog,40062,edge_type_swap,0,26,28,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,72193,edge_perturbation,1,553,628,0,0.771509167842031,0.0,0.0,1,0.0,0.0
TraceLog,72193,edge_addition,1,553,628,82,0.8857545839210155,0.0,0.0,1,0.0014084507042253502,0.0
TraceLog,72193,node_type_swap,0,553,628,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,72193,edge_type_swap,0,553,628,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,22418,edge_perturbation,1,378,431,0,0.7700205338809035,0.0,0.0,1,0.0,0.0
TraceLog,22418,edge_addition,1,378,431,56,0.8868312757201646,0.0,0.0,1,0.002053388090349051,0.0
TraceLog,22418,node_type_swap,0,378,431,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,22418,edge_type_swap,0,378,431,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,15953,edge_perturbation,1,27,29,0,0.8709677419354839,0.0,0.0,1,0.0,0.0
TraceLog,15953,edge_addition,1,27,29,4,0.8787878787878788,0.0,0.0,1,0.0,0.0
TraceLog,15953,node_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,15953,edge_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,47716,edge_perturbation,1,529,596,0,0.7764530551415797,0.0,0.0,1,0.0,0.0016778523568063974
TraceLog,47716,edge_addition,1,529,596,77,0.8869047619047619,0.0,0.0,1,0.0014858841010401136,0.0
TraceLog,47716,node_type_swap,0,529,596,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,47716,edge_type_swap,0,529,596,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,63509,edge_perturbation,1,163,162,0,0.7704918032786885,0.0,0.0,1,0.0,0.0
TraceLog,63509,edge_addition,1,163,162,21,0.8852459016393442,0.0,0.0,1,0.0,0.0
TraceLog,63509,node_type_swap,0,163,162,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,63509,edge_type_swap,0,163,162,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,97862,edge_perturbation,1,311,311,0,0.7873563218390804,0.0,0.0,1,0.0,0.0
TraceLog,97862,edge_addition,1,311,311,40,0.8885714285714286,0.0,0.0,1,0.002849002849002802,0.0
TraceLog,97862,node_type_swap,1,311,311,0,1.0,0.006430868059396744,0.0,1,0.0,0.0
TraceLog,97862,edge_type_swap,0,311,311,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,124661,edge_perturbation,1,48,52,0,0.7931034482758621,0.0,0.0,1,0.0,0.0
TraceLog,124661,edge_addition,1,48,52,7,0.896551724137931,0.0,0.0,1,0.016949152542372836,0.0
TraceLog,124661,node_type_swap,0,48,52,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,124661,edge_type_swap,0,48,52,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,103363,edge_perturbation,1,173,194,0,0.771689497716895,0.0,0.0,1,0.0,0.0
TraceLog,103363,edge_addition,1,173,194,25,0.8899082568807339,0.0,0.0,1,0.004566210045662156,0.0
TraceLog,103363,node_type_swap,0,173,194,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,103363,edge_type_swap,0,173,194,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,55190,edge_perturbation,1,27,29,0,0.7575757575757576,0.0,0.0,1,0.0,0.0
TraceLog,55190,edge_addition,1,27,29,4,0.90625,0.0,0.0,1,0.030303030303030276,0.0
TraceLog,55190,node_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,55190,edge_type_swap,0,27,29,0,1.0,0.0,0.0,1,0.0,0.0
