prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,score_direction,inverse_auc_diagnostic,test_normal_score_median,test_anomaly_score_median,normal_calibration_score_median,normal_calibration_score_q95,dataset,variant,experimental_stage,seed,epochs_completed,training_seconds,parameters,peak_gpu_memory_mb,device,checkpoint_selection,threshold_source,scoring_protocol,reference_graphs,normal_calibration_graphs,subset_sampling,official_source,train_graphs,numerically_stabilized,matrix,status,error
0.5,0.5214808888888889,0.5731823060628866,0.01,15.0,0.8666666666666667,0.017333333333333333,0.01,0.068,0.0003364911035168916,0.875,0.06533333333333333,0.12158808933002481,0.14769700210949768,0.009333333333333334,higher_is_more_anomalous,0.47851911111111106,0.00032408298284281045,0.0003233637980883941,0.00032362437923438847,0.00033190177055075765,TraceLog,DHAGNN-fair,recent_sota_stability_tuning,66,60.0,26.400478733703494,55297.0,71.53271484375,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,,,seeded_stratified_random,,1500.0,,recent_sota_tuning_stable,complete,
0.5,0.337109375,0.392688593545819,0.01,2.0,0.0,0.0,0.01,0.0,0.004102921062149108,0.0,0.0,0.0,-0.07930515857181442,0.0125,higher_is_more_anomalous,0.662890625,0.004084145650267601,0.0040835971012711525,0.004084298154339194,0.004102025693282485,FlowGraph,DHAGNN-fair,recent_sota_stability_tuning,44,60.0,35.91920472122729,56321.0,879.83544921875,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,,,seeded_stratified_random,,160.0,,recent_sota_tuning_stable,complete,
0.5,0.503359375,0.4832508496573442,0.01,2.0,0.0,0.0,0.01,0.0,0.0027098439447581766,0.0,0.0,0.0,-0.1125087900926024,0.025,higher_is_more_anomalous,0.496640625,0.0026827120454981923,0.002683156286366284,0.002681516925804317,0.00270965495146811,FlowGraph,DHAGNN-fair,recent_sota_stability_tuning,55,60.0,47.58747641555965,56321.0,902.2470703125,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,,,seeded_stratified_random,,160.0,,recent_sota_tuning_stable,complete,
0.5,0.46749999999999997,0.45196469868612676,0.01,2.0,0.0,0.0,0.01,0.0,0.0032340721786022187,0.0,0.0,0.0,-0.07930515857181442,0.0125,higher_is_more_anomalous,0.5325,0.003217544639483094,0.003220392158254981,0.003216035314835608,0.0032335805473849176,FlowGraph,DHAGNN-fair,recent_sota_stability_tuning,66,60.0,46.2710723336786,56321.0,902.470703125,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,,,seeded_stratified_random,,160.0,,recent_sota_tuning_stable,complete,
0.49866310160427807,0.709756925826631,0.6659600397498535,0.01,15.0,0.26666666666666666,0.005361930294906166,0.01,0.002680965147453083,0.00025253933388739823,0.7142857142857143,0.15415549597855227,0.2535832414553473,0.1497608020590722,0.06133333333333333,higher_is_more_anomalous,0.29024307417336903,0.000232936508837156,0.00024178790772566572,0.0002358193160034716,0.0002483049640432,ADFA-LD,DHAGNN-fair,recent_sota_stability_tuning,44,60.0,20.89176394045353,64449.0,178.65087890625,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,,,seeded_stratified_random,,833.0,,recent_sota_tuning_stable,complete,
0.49866310160427807,0.6240723860589813,0.5948603580689323,0.01,15.0,0.4,0.00804289544235925,0.01,0.0013404825737265416,0.00015439004404470323,0.6633663366336634,0.08981233243967829,0.15820543093270367,0.08863541055264648,0.04533333333333334,higher_is_more_anomalous,0.37592761394101876,0.00013946711987955496,0.00014194097457220778,0.00014154703239910305,0.0001483774743974209,ADFA-LD,DHAGNN-fair,recent_sota_stability_tuning,55,60.0,19.141198629513383,64449.0,185.13037109375,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,,,seeded_stratified_random,,833.0,,recent_sota_tuning_stable,complete,
0.49866310160427807,0.6721519213583557,0.6544889533697484,0.01,15.0,0.26666666666666666,0.005361930294906166,0.01,0.0013404825737265416,0.00017301355430390686,0.5344827586206896,0.04155495978552279,0.07711442786069651,0.014387572493628726,0.036,higher_is_more_anomalous,0.32784807864164434,0.00015696848277002573,0.00016028475511120632,0.00015749875456094742,0.00016874673892743885,ADFA-LD,DHAGNN-fair,recent_sota_stability_tuning,66,60.0,19.12214458361268,64449.0,177.07470703125,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,,,seeded_stratified_random,,833.0,,recent_sota_tuning_stable,complete,
0.5,0.5200746666666667,0.525451057603006,0.01,15.0,0.6,0.012,0.01,0.012,1.5216750082203134e-09,0.25,0.012,0.022900763358778626,-0.0784062560233975,0.036,higher_is_more_anomalous,0.4799253333333333,4.288933617979662e-11,4.3523566695125027e-11,4.291494590247247e-11,5.392287727445932e-10,TraceLog,ChiGAD-fair,recent_sota_stability_tuning,44,60.0,37.78983202390373,46980.0,82.06103515625,cuda,fixed_epoch,normal_train_scores,chigad_native_graph_one_class,,,seeded_stratified_random,,1500.0,,recent_sota_tuning_stable,complete,
0.5,0.5275217777777776,0.5206206695754644,0.01,15.0,0.4666666666666667,0.009333333333333334,0.01,0.009333333333333334,8.189188216434218e-11,0.1794871794871795,0.009333333333333334,0.017743979721166033,-0.10473277172922975,0.042666666666666665,higher_is_more_anomalous,0.4724782222222222,1.400683041774542e-11,1.0468798571083848e-11,1.1179722078646925e-11,4.29142069102717e-11,TraceLog,ChiGAD-fair,recent_sota_stability_tuning,55,60.0,36.860050620511174,46980.0,76.693359375,cuda,fixed_epoch,normal_train_scores,chigad_native_graph_one_class,,,seeded_stratified_random,,1500.0,,recent_sota_tuning_stable,complete,
0.5,0.45602044444444445,0.5131462890829792,0.01,15.0,0.8,0.016,0.01,0.016,5.708536310322643e-09,0.375,0.016,0.030690537084398978,-0.03691067352627811,0.02666666666666667,higher_is_more_anomalous,0.5439795555555555,7.758630543586165e-11,6.338557456686544e-11,7.673717911105271e-11,2.3477417787631794e-09,TraceLog,ChiGAD-fair,recent_sota_stability_tuning,66,60.0,36.69048818014562,46980.0,77.34228515625,cuda,fixed_epoch,normal_train_scores,chigad_native_graph_one_class,,,seeded_stratified_random,,1500.0,,recent_sota_tuning_stable,complete,
0.5,0.946875,0.9280675057317206,0.01,2.0,0.5,0.0125,0.01,0.0,2.286230883328244e-06,0.0,0.0,0.0,-0.07930515857181442,0.0125,higher_is_more_anomalous,0.05312499999999996,2.986889455769415e-07,1.7059544461517362e-06,2.94371844233865e-07,8.434646815658194e-07,FlowGraph,ChiGAD-fair,recent_sota_stability_tuning,44,60.0,40.42727137170732,48001.0,975.18017578125,cuda,fixed_epoch,normal_train_scores,chigad_native_graph_one_class,,,seeded_stratified_random,,160.0,,recent_sota_tuning_stable,complete,
0.5,0.98515625,0.9877551287716743,0.01,2.0,1.0,0.025,0.01,0.9375,5.203843406320613e-07,0.0,0.0,0.0,0.0,0.0,higher_is_more_anomalous,0.014843750000000003,2.251314157319939e-07,3.947664453107791e-07,2.1558977891800168e-07,3.0303894646976916e-07,FlowGraph,ChiGAD-fair,recent_sota_stability_tuning,55,60.0,48.55313536897302,48001.0,1014.51220703125,cuda,fixed_epoch,normal_train_scores,chigad_native_graph_one_class,,,seeded_stratified_random,,160.0,,recent_sota_tuning_stable,complete,
0.5,0.20593750000000005,0.38480410710845625,0.01,2.0,1.0,0.025,0.01,0.0375,2.4493444425388473e-06,0.0,0.0,0.0,0.0,0.0,higher_is_more_anomalous,0.7940625,7.370610717316595e-07,3.243837483069001e-07,4.043164949507627e-07,1.0523547643970233e-06,FlowGraph,ChiGAD-fair,recent_sota_stability_tuning,66,60.0,50.45746624842286,48001.0,1012.88671875,cuda,fixed_epoch,normal_train_scores,chigad_native_graph_one_class,,,seeded_stratified_random,,160.0,,recent_sota_tuning_stable,complete,
0.49866310160427807,0.7163842716711349,0.6576861671289046,0.01,15.0,0.3333333333333333,0.006702412868632708,0.01,0.005361930294906166,9.888841577776474e-07,0.635593220338983,0.10053619302949061,0.1736111111111111,0.08013955521372755,0.05733333333333333,higher_is_more_anomalous,0.28361572832886506,2.95798727734109e-07,4.6724183278001874e-07,3.203055030098767e-07,7.18800606591685e-07,ADFA-LD,ChiGAD-fair,recent_sota_stability_tuning,44,60.0,22.387108432129025,56131.0,213.3486328125,cuda,fixed_epoch,normal_train_scores,chigad_native_graph_one_class,,,seeded_stratified_random,,833.0,,recent_sota_tuning_stable,complete,
0.49866310160427807,0.7393226094727434,0.698429483669817,0.01,15.0,0.4666666666666667,0.00938337801608579,0.01,0.00938337801608579,6.179260753924605e-07,0.66,0.08847184986595175,0.15602836879432624,0.08636197042537959,0.04533333333333334,higher_is_more_anomalous,0.26067739052725647,1.452820228564633e-07,2.996690824375037e-07,1.7720860512326908e-07,4.3040852233389153e-07,ADFA-LD,ChiGAD-fair,recent_sota_stability_tuning,55,60.0,22.30081208795309,56131.0,222.15576171875,cuda,fixed_epoch,normal_train_scores,chigad_native_graph_one_class,,,seeded_stratified_random,,833.0,,recent_sota_tuning_stable,complete,
0.49866310160427807,0.7186711349419125,0.6885207677048977,0.01,15.0,0.5333333333333333,0.010723860589812333,0.01,0.021447721179624665,1.3641723944601784e-06,0.7352941176470589,0.13404825737265416,0.22675736961451248,0.14965913011868684,0.048,higher_is_more_anomalous,0.2813288650580875,3.933976273629014e-07,6.726023116243596e-07,4.544683918084047e-07,9.578434628565441e-07,ADFA-LD,ChiGAD-fair,recent_sota_stability_tuning,66,60.0,22.25943465344608,56131.0,211.35302734375,cuda,fixed_epoch,normal_train_scores,chigad_native_graph_one_class,,,seeded_stratified_random,,833.0,,recent_sota_tuning_stable,complete,
