prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,svdd_auc,svdd_ap,mean_svdd_loss,ssl_auc,ssl_ap,num_graphs,mean_inference_seconds,dataset,run_name,seed,epochs_completed,training_seconds,peak_process_memory_mb,peak_gpu_memory_mb,parameters,device,threshold_source,checkpoint_selection,evaluation_split,max_train_graphs_per_epoch,max_evaluation_graphs,evaluation_sampling,experimental_stage,search,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,model.attention_temperature,model.prototype_momentum
0.34575,0.7707298433320595,0.6914388694423965,0.01,40.0,0.95,0.0274765003615329,0.01,0.2689804772234273,0.0015771189762745,0.9213759213759214,0.2711496746203904,0.4189944134078212,0.4073389866570046,0.0122277416889568,0.7638423445788438,0.6821080829602968,0.00104833306215,0.5483429028342688,0.5113716120395931,4000,0.0009632576946169,TraceLog,trial_0003_4a1a1fd3,11,5,70.71391064114869,3883.4921875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,3,trial_0003_4a1a1fd3,0.001,0.25,0.01,1.0,0.9
0.34575,0.8237185199061368,0.7445379652172567,0.01,40.0,1.0,0.0289226319595083,0.01,0.3441793203181489,0.0007343656319426,0.948,0.3427331887201735,0.5034519383961763,0.4786023520843439,0.0099350401222774,0.8246290523251525,0.7495081609507696,0.000411549347631,0.5961058610326662,0.4710779382386248,4000,0.0009374259654432,TraceLog,trial_0003_4a1a1fd3,22,6,82.16284952871501,3883.4921875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,3,trial_0003_4a1a1fd3,0.001,0.25,0.01,1.0,0.9
0.34575,0.7759012696062868,0.6797566547004346,0.01,40.0,1.0,0.0289226319595083,0.01,0.2653651482284888,0.0009769489988684,0.8995098039215687,0.2653651482284888,0.4098269123394751,0.3924012531729145,0.0156667940389759,0.7783652744956153,0.6884167585956682,0.000789874697064,0.6058639337708199,0.5799589894894104,4000,0.0009600649415515,TraceLog,trial_0003_4a1a1fd3,33,5,68.40224697254598,3883.50390625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,3,trial_0003_4a1a1fd3,0.001,0.25,0.01,1.0,0.9
0.34575,0.8153350181844004,0.7456053631981734,0.01,40.0,1.0,0.0289226319595083,0.01,0.2986261749819233,0.0024034972209483,0.9235807860262008,0.3058568329718004,0.4595328625746877,0.4368739781385699,0.0133740924722965,0.8208368940939312,0.749991817054271,0.0031511227992523,0.6068425730753726,0.6237481641890021,4000,0.0004939730740152,TraceLog,trial_0003_4a1a1fd3,44,4,54.9034124519676,3883.5078125,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,3,trial_0003_4a1a1fd3,0.001,0.25,0.01,1.0,0.9
0.34575,0.8028486637373797,0.7392573230163577,0.01,40.0,1.0,0.0289226319595083,0.01,0.3101952277657266,0.0013212821993511,0.9467849223946784,0.3087490961677512,0.465648854961832,0.4504867462044035,0.0091708062667176,0.7899116710335199,0.7218764096760175,0.0011542473923473,0.5678996637757849,0.5795759779703058,4000,0.0009628581944853,TraceLog,trial_0003_4a1a1fd3,55,5,68.08487259410322,3883.54296875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,3,trial_0003_4a1a1fd3,0.001,0.25,0.01,1.0,0.9
0.34575,0.8295464247200641,0.7391644189439617,0.01,40.0,0.95,0.0274765003615329,0.01,0.2516268980477223,0.0015161460218951,0.928,0.2516268980477223,0.3959044368600682,0.3937478229504564,0.0103171570500573,0.8264172379770625,0.7334417640300486,0.0009462504001276,0.5096554288924051,0.4455506722081281,4000,0.0009009175170212,TraceLog,trial_0004_29ecf918,11,5,67.10519669391215,3883.54296875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,4,trial_0004_29ecf918,0.001,0.5,0.01,1.0,0.9
0.34575,0.8062164318015224,0.7365149565282505,0.01,40.0,1.0,0.0289226319595083,0.01,0.3116413593637021,0.0028533884347416,0.951338199513382,0.2827187274041938,0.4358974358974359,0.4308822715782057,0.007642338555598,0.8076026072365707,0.7333799282490638,0.0011488452111807,0.6422491739449857,0.5940194885536909,4000,0.0004587276978418,TraceLog,trial_0004_29ecf918,22,4,48.612170573323965,3883.54296875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,4,trial_0004_29ecf918,0.001,0.5,0.01,1.0,0.9
0.34575,0.7851842519197714,0.6931656893277003,0.01,40.0,1.0,0.0289226319595083,0.01,0.3007953723788865,0.0008187377243302,0.9037656903765692,0.3123644251626898,0.4642665233745298,0.4322278266188835,0.0175773786778754,0.7873379767585598,0.6999481017016406,0.0006219003285732,0.6384217880143486,0.5729848645957154,4000,0.0004955520709045,TraceLog,trial_0004_29ecf918,33,5,63.71743857301772,3883.546875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,4,trial_0004_29ecf918,0.001,0.5,0.01,1.0,0.9
0.34575,0.7532049608337057,0.6722529510395437,0.01,40.0,1.0,0.0289226319595083,0.01,0.2292118582791034,0.0035310351732186,0.9083094555873924,0.2292118582791034,0.3660508083140877,0.3656977309985382,0.0122277416889568,0.744889704145347,0.6580740390597797,0.0023601349555246,0.5563871134588876,0.5533532593502662,4000,0.0003790349964983,TraceLog,trial_0004_29ecf918,44,4,48.31846369802952,3883.5703125,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,4,trial_0004_29ecf918,0.001,0.5,0.01,1.0,0.9
0.34575,0.8285027177824729,0.7675792249424584,0.01,40.0,1.0,0.0289226319595083,0.01,0.3535791757049891,0.001267391059082,0.9429590017825312,0.3825018076644975,0.5442386831275721,0.5071526836381012,0.0122277416889568,0.8288304044609596,0.7661332866046557,0.0018407969756881,0.5444439563220734,0.5700569419443275,4000,0.0003867793623358,TraceLog,trial_0004_29ecf918,55,5,58.4711892362684,3883.5859375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_gamma_fine_five_seed,tracelog_gamma_fine_confirmation,4,trial_0004_29ecf918,0.001,0.5,0.01,1.0,0.9
